Team,Matches Played,Wins,Draws,Losses,Goals Scored,Goals Conceded,Goals Per Game,Goals Conceded Per Game,Win Rate,Recent Form,Form Score,Attack Rating,Defence Rating,Strength Score,Reliability,Adjusted Strength Score,Elo Rating,Elo Normalised,Stats Normalised,Final Rating
South Korea,110,90.0,33.0,30.0,195.0,97.0,1.77,0.88,0.82,WWLLWWWLDW,19.0,1.25,1.61,105.05,0.846,88.89,1758,76.87,72.68,76.66
Czechia,92,60.5,23.5,35.5,154.0,116.0,1.67,1.26,0.66,WWDDWWLDDW,28.0,1.18,1.13,97.5,0.821,80.09,1740,75.83,65.29,75.3
Greece,84,51.0,22.0,34.5,113.0,80.0,1.35,0.95,0.61,LDDLDWLLLW,16.0,0.95,1.5,89.68,0.808,72.43,1744,76.06,58.85,75.2
United States,125,104.0,33.0,42.0,233.0,118.0,1.86,0.94,0.83,LWLLWWWDWL,16.0,1.31,1.51,100.85,0.862,86.94,1726,75.01,71.04,74.81
Serbia,94,55.5,31.0,45.0,147.0,113.0,1.56,1.2,0.59,LLWLWLWLLW,21.0,1.1,1.18,89.58,0.825,73.86,1734,75.48,60.05,74.71
Panama,120,70.0,35.0,55.0,172.0,171.0,1.43,1.43,0.58,DWLWDLDWWD,23.0,1.01,0.99,83.17,0.857,71.29,1730,75.25,57.9,74.38
Uzbekistan,89,66.0,24.0,26.0,141.0,80.0,1.58,0.9,0.74,LLDWDDWLWW,26.0,1.11,1.58,106.92,0.817,87.3,1714,74.32,71.34,74.17
Kosovo,85,45.5,27.0,36.0,129.0,100.0,1.52,1.18,0.54,WLLWDWWDWL,31.0,1.07,1.2,99.26,0.81,80.35,1715,74.38,65.5,73.94
Poland,96,63.0,28.0,53.5,155.0,118.0,1.61,1.23,0.66,DLLWWDWWWD,32.0,1.13,1.15,100.6,0.828,83.26,1710,74.09,67.95,73.78
Ivory Coast,91,82.0,24.0,20.0,160.0,69.0,1.76,0.76,0.9,WWWLWWDWWL,32.0,1.24,1.87,125.57,0.82,102.94,1695,73.22,84.48,73.78
Egypt,103,87.0,35.0,26.0,155.0,75.0,1.5,0.73,0.84,LWDWDLWWDW,29.0,1.06,1.95,119.55,0.837,100.11,1696,73.28,82.1,73.72
Venezuela,82,37.0,31.0,45.0,95.0,107.0,1.16,1.3,0.45,LDWLWLLLLW,17.0,0.82,1.09,74.44,0.804,59.84,1722,74.78,48.28,73.46
Sweden,102,75.5,19.5,48.5,160.0,123.0,1.57,1.21,0.74,DLWWDLLLLD,17.0,1.11,1.17,85.62,0.836,71.58,1712,74.2,58.14,73.4
Hungary,89,52.5,26.5,39.5,119.0,108.0,1.34,1.21,0.59,WDWLWDWLDW,26.0,0.94,1.17,89.48,0.817,73.06,1707,73.91,59.38,73.18
Chile,91,36.0,32.0,54.0,104.0,116.0,1.14,1.27,0.4,LLWWWWDLLL,17.0,0.8,1.12,74.72,0.82,61.26,1708,73.97,49.47,72.74
Jordan,113,66.0,31.0,44.0,168.0,125.0,1.49,1.11,0.58,LLDDLWWWWW,32.0,1.05,1.28,102.07,0.85,86.72,1680,72.35,70.86,72.28
Peru,98,38.0,33.0,57.0,94.0,114.0,0.96,1.16,0.39,LWDLLDLLLD,7.0,0.68,1.22,64.12,0.831,53.25,1700,73.51,42.74,71.97
Wales,89,51.0,36.0,40.5,113.0,97.0,1.27,1.09,0.57,LDDDWWLLLW,22.0,0.89,1.3,87.87,0.817,71.75,1682,72.46,58.28,71.75
Slovenia,88,46.5,42.5,27.5,114.0,89.0,1.3,1.01,0.53,LDWLDLDDLD,12.0,0.92,1.41,82.06,0.815,66.86,1682,72.46,54.17,71.55
DR Congo,83,46.0,34.0,28.0,91.0,70.0,1.1,0.84,0.55,DWWLWDWDWW,38.0,0.77,1.69,111.96,0.806,90.22,1661,71.25,73.79,71.38
Slovakia,91,50.0,30.5,39.5,127.0,106.0,1.4,1.16,0.55,DWWLLWWLWW,31.0,0.99,1.22,97.46,0.82,79.9,1667,71.59,65.13,71.27
Georgia,86,48.5,28.0,39.0,131.0,105.0,1.52,1.22,0.56,WDWDLLLLWL,14.0,1.07,1.16,81.07,0.811,65.77,1654,70.84,53.26,69.96
Israel,76,39.5,21.0,39.5,124.0,131.0,1.63,1.72,0.52,WDWDLLLWWW,26.0,1.15,0.83,85.56,0.792,67.74,1647,70.43,54.91,69.65
Romania,88,57.0,27.0,33.0,137.0,96.0,1.56,1.09,0.65,WDLLWLWWDL,21.0,1.1,1.3,93.2,0.815,75.94,1639,69.97,61.8,69.56
Tunisia,114,87.0,32.0,43.0,159.0,89.0,1.39,0.78,0.76,LLDWDDLWWD,22.0,0.98,1.82,106.23,0.851,90.37,1628,69.33,73.92,69.56
